Title,Director,Rating,Genre,Duration,Year
The Breakfast Club,JohnHughes,7.8,"Comedy,Drama",97min,1985
Hacksaw Ridge,MelGibson,8.1,"Biography,Drama,History",139min,2016
Her,SpikeJonze,8,"Drama,Romance,Science Fiction",126min,2013
The Dark Knight Rises,ChristopherNolan,8.4,"Action,Drama",164min,2012
Mad Max: Fury Road,GeorgeMiller,8.1,"Action,Adventure,Science Fiction",120min,2015
Once Upon a Time in America,SergioLeone,8.3,"Crime,Drama",229min,1984
Prisoners,DenisVilleneuve,8.1,"Crime,Drama,Mystery",153min,2013
Call Me by Your Name,LucaGuadagnino,7.8,"Drama,Romance",132min,2017
Ford v Ferrari,JamesMangold,8.1,"Action,Biography,Drama",152min,2019
The Irishman,MartinScorsese,7.8,"Biography,Crime,Drama",209min,2019
Black Swan,DarrenAronofsky,8,"Drama,Thriller",108min,2010
Full Metal Jacket,StanleyKubrick,8.3,"Drama,War",116min,1987
Harry Potter and the Deathly Hallows: Part 1,DavidYates,7.7,"Adventure,Family,Fantasy",146min,2010
No Country for Old Men,"EthanCoen,",8.2,"Crime,Drama,Thriller",122min,2007
A Few Good Men,RobReiner,7.7,"Drama,Thriller",138min,1992
Ex Machina,AlexGarland,7.7,"Drama,Science Fiction,Thriller",108min,2014
Guardians of the Galaxy Vol. 2,JamesGunn,7.6,"Action,Adventure,Comedy",136min,2017
Scarface,BrianDePalma,8.3,"Crime,Drama",170min,1983
Blade Runner,RidleyScott,8.1,"Action,Drama,Science Fiction",117min,1982
Aliens,JamesCameron,8.4,"Action,Adventure,Science Fiction",137min,1986
Shutter Island,MartinScorsese,8.2,"Mystery,Thriller",138min,2010
Moneyball,BennettMiller,7.6,"Biography,Drama,Sport",133min,2011
Deadpool 2,DavidLeitch,7.7,"Action,Adventure,Comedy",119min,2018
Spider-Man: Into the Spider-Verse,"BobPersichetti,",8.4,"Animation,Action,Adventure",117min,2018
Stand by Me,RobReiner,8.1,"Adventure,Drama",89min,1986
The Princess Bride,RobReiner,8,"Adventure,Family,Fantasy",98min,1987
The Green Mile,FrankDarabont,8.6,"Crime,Drama,Fantasy",189min,1999
Jojo Rabbit,TaikaWaititi,7.9,"Comedy,Drama,War",108min,2019
12 Angry Men,SidneyLumet,9,"Crime,Drama",96min,1957
Casino Royale,MartinCampbell,8,"Action,Adventure,Thriller",144min,2006
In Bruges,MartinMcDonagh,7.9,"Comedy,Crime,Drama",107min,2008
Pride & Prejudice,JoeWright,7.8,"Drama,Romance",129min,2005
Edge of Tomorrow,DougLiman,7.9,"Action,Adventure,Science Fiction",113min,2014
The Lord of the Rings: The Return of the King,PeterJackson,9,"Action,Adventure,Drama",201min,2003
The Godfather Part III,FrancisFordCoppola,7.6,"Crime,Drama",162min,1990
Harry Potter and the Goblet of Fire,MikeNewell,7.7,"Adventure,Family,Fantasy",157min,2005
The Prestige,ChristopherNolan,8.5,"Drama,Mystery,Science Fiction",130min,2006
Dunkirk,ChristopherNolan,7.8,"Action,Drama,History",106min,2017
Harry Potter and the Deathly Hallows: Part 2,DavidYates,8.1,"Adventure,Fantasy,Mystery",130min,2011
American Beauty,SamMendes,8.4,Drama,122min,1999
Chinatown,RomanPolanski,8.2,"Drama,Mystery,Thriller",130min,1974
Dead Poets Society,PeterWeir,8.1,"Comedy,Drama",128min,1989
Raiders of the Lost Ark,StevenSpielberg,8.4,"Action,Adventure",115min,1981
Drive,NicolasWindingRefn,7.8,"Action,Drama",100min,2011
The Sandlot,DavidMickeyEvans,7.8,"Comedy,Drama,Family",101min,1993
The Truman Show,PeterWeir,8.2,"Comedy,Drama",103min,1998
The Terminator,JamesCameron,8.1,"Action,Science Fiction",107min,1984
Out of the Past,JacquesTourneur,8,"Crime,Drama,Film-Noir",97min,1947
The Shining,StanleyKubrick,8.4,"Drama,Horror",146min,1980
A Clockwork Orange,StanleyKubrick,8.3,"Crime,Science Fiction",136min,1971
There Will Be Blood,PaulThomasAnderson,8.2,Drama,158min,2007
Airplane!,"JimAbrahams,",7.7,Comedy,88min,1980
E.T. the Extra-Terrestrial,StevenSpielberg,7.9,"Adventure,Family,Science Fiction",115min,1982
Toy Story,JohnLasseter,8.3,"Animation,Adventure,Comedy",81min,1995
Batman Begins,ChristopherNolan,8.2,"Action,Crime,Drama",140min,2005
A Beautiful Mind,RonHoward,8.2,"Biography,Drama",135min,2001
The Longest Day,"KenAnnakin,",7.7,"Action,Drama,History",178min,1962
Iron Man,JonFavreau,7.9,"Action,Adventure,Science Fiction",126min,2008
Zombieland,RubenFleischer,7.6,"Action,Comedy,Horror",88min,2009
Atonement,JoeWright,7.8,"Drama,Mystery,Romance",123min,2007
Good Will Hunting,GusVanSant,8.3,"Drama,Romance",126min,1997
The Usual Suspects,BryanSinger,8.5,"Crime,Drama,Mystery",106min,1995
The Lion King,"RogerAllers,",8.5,"Animation,Adventure,Drama",88min,1994
The Avengers,JossWhedon,8,"Action,Adventure,Science Fiction",143min,2012
Sen to Chihiro no kamikakushi,HayaoMiyazaki,8.6,"Animation,Adventure,Family",125min,2001
Oldeuboi,ParkChan-wook,8.4,"Action,Drama,Mystery",101min,2003
The Sound of Music,RobertWise,8.1,"Biography,Drama,Family",172min,1965
K.G.F: Chapter 1,PrashanthNeel,8.2,"Action,Crime,Drama",156min,2018
Jaws,StevenSpielberg,8.1,"Adventure,Thriller",124min,1975
Star Trek,J.J.Abrams,7.9,"Action,Adventure,Science Fiction",127min,2009
Oceans Eleven,StevenSoderbergh,7.7,"Crime,Thriller",116min,2001
Superbad,GregMottola,7.6,Comedy,113min,2007
The Sixth Sense,M.NightShyamalan,8.2,"Drama,Mystery,Thriller",107min,1999
About Time,RichardCurtis,7.8,"Comedy,Drama,Fantasy",123min,2013
Blue Velvet,DavidLynch,7.7,"Crime,Drama,Mystery",120min,1986
Little Women,GretaGerwig,7.8,"Drama,Romance",135min,2019
The Curious Case of Benjamin Button,DavidFincher,7.8,"Drama,Fantasy,Romance",166min,2008
La vie dAdèle,AbdellatifKechiche,7.7,"Drama,Romance",180min,2013
Eternal Sunshine of the Spotless Mind,MichelGondry,8.3,"Drama,Romance,Science Fiction",108min,2004
Casino,MartinScorsese,8.2,"Crime,Drama",178min,1995
Office Space,MikeJudge,7.7,Comedy,89min,1999
Platoon,OliverStone,8.1,"Drama,War",120min,1986
Hidden Figures,TheodoreMelfi,7.8,"Biography,Drama,History",127min,2016
The Big Lebowski,"JoelCoen,",8.1,"Comedy,Crime",117min,1998
The Hangover,ToddPhillips,7.7,Comedy,100min,2009
Hamilton,ThomasKail,8.4,"Biography,Drama,History",160min,2020
Terminator 2: Judgment Day,JamesCameron,8.6,"Action,Science Fiction",137min,1991
Skyfall,SamMendes,7.8,"Action,Adventure,Thriller",143min,2012
Whats Eating Gilbert Grape,LasseHallström,7.7,Drama,118min,1993
One Flew Over the Cuckoos Nest,MilosForman,8.7,Drama,133min,1975
The Revenant,AlejandroG.Iñárritu,8,"Action,Adventure,Drama",156min,2015
Wind River,TaylorSheridan,7.7,"Crime,Drama,Mystery",107min,2017
Sicario,DenisVilleneuve,7.6,"Action,Crime,Drama",121min,2015
The Imitation Game,MortenTyldum,8,"Biography,Drama,Thriller",114min,2014
Trainspotting,DannyBoyle,8.1,Drama,93min,1996
The Last Samurai,EdwardZwick,7.8,"Action,Drama",154min,2003
Love Actually,RichardCurtis,7.6,"Comedy,Drama,Romance",135min,2003
Catch Me If You Can,StevenSpielberg,8.1,"Biography,Crime,Drama",141min,2002
Boogie Nights,PaulThomasAnderson,7.9,Drama,155min,1997
Moana,"RonClements,",7.6,"Animation,Adventure,Comedy",107min,2016
